Number,User Query,ServiceNow Glide Record Query
1,Tell me the number of computer records in our cmdb?,sys_class_name=cmdb_ci_computer
2,How many incidents are currently open?,state=1^ORstate=2^ORstate=3^ORstate=4
3,"Find all users with the role ""admin"".",user_name LIKE '%admin%'^ORroles LIKE '%admin%'
4,Show me all active problems related to network connectivity.,state=1^category=network
5,Can you update the description field for the incident with ID INC01234?,number=INC01234
6,"Retrieve all approved change requests impacting the ""database server"" configuration item.",state=1^cmdb_ci = 'database server'
7,"What are the open change requests assigned to the group ""Network Operations""?",state=1^assignment_group=Network Operations
8,Tell me the number of computer records in our CMDB?,sys_class_name=cmdb_ci_computer
9,Tell me the number of computer records in our cmdb?,sys_class_name=cmdb_ci_computer
10,Find all active users from the HR department.,"user_active=TRUE^department=""HR"""
11,List all open change requests related to network issues.,"change_request.state=1^short_description LIKE ""%network%"""
12,What incidents are currently assigned to John Smith?,incident.assigned_to=John Smith^active=TRUE
13,Show me all problem records that haven't been updated in the last month.,problem.sys_updated_on<2024-06-08^active=TRUE
14,How many servers are currently down?,cmdb_ci_server.state=down
15,"List all catalog items belonging to the ""Software"" category.",sc_catalog_item.category=Software
16,Find all change requests awaiting approval.,change_request.state=2^approval=NULL
17,What are the open tickets assigned to my group?,incident.assigned_to_group=MYGROUP^active=TRUE
18,Show me all hardware assets due for maintenance within the next week.,cmdb_ci_hardware.due_date>=2024-06-15^due_date<=2024-06-22
19,List all users with administrator roles.,"user.active=TRUE^roles.name=""admin"""
20,Find all incidents with a high priority.,incident.priority=high
21,What are the most recently submitted catalog requests?,sc_request.sys_created_onDESC
22,Show me all open problems with no assigned owner.,problem.active=TRUE^assigned_to=NULL
23,"Identify all configuration items associated with a specific location (e.g., New York office).",cmdb_ci.location=New York office
24,List all change requests that have been modified in the last day.,change_request.sys_updated_on>=2024-06-07^active=TRUE
25,Find all incidents exceeding their resolution time SLA.,"incident.active=TRUE^work_notes LIKE ""%SLA exceeded%"""
26,What are all open incidents?,active=true
27,List all users in the system.,sys_class_name=sys_user
28,Show all change requests that are approved.,type=change_request^state=approved
29,Find all VIP users.,vip=true
30,How many computers are in our CMDB?,sys_class_name=cmdb_ci_computer
31,Show me all incidents assigned to me.,assigned_to=javascript:gs.getUserID()
32,List all network devices in the CMDB.,sys_class_name=cmdb_ci_network
33,Show all tasks in the incident state.,state=incident
34,Display all active problems.,active=true^state=problem
35,List all Windows servers.,os=Windows^sys_class_name=cmdb_ci_server
36,Show all software installations.,sys_class_name=cmdb_ci_spkg
37,Display all user accounts created in the last 30 days.,sys_created_on>=javascript:gs.daysAgoStart(30)
38,List all incidents with priority 1.,priority=1
39,Show all requests pending approval.,type=request^state=pending_approval
40,List all databases in the CMDB.,sys_class_name=cmdb_ci_database
41,Display all active SLAs.,active=true^sys_class_name=contract_sla
